,Review, Academic Positive, Academic Negative,Academic Neutral,Academic Score, Placements Positive, Placements Negative,Placements Neutral,Placements Score, Infrastructure Positive, Infrastructure Negative,Infrastructure Neutral,Infrastructure Score
0,"Everything is good at this college. Wi-Fi facility is available at normal speed. Classrooms are average, and the library is well spaced. There is a 24 hours open medical facility. Labs are placed accordingly. Sports and game...",0.104,0.0,0.896,0.1366,0.0,0.0,1.0,0.0,0.052,0.0,0.948,0.0683
1,"This year, in 2018, many of our seniors got placed in most of the reputed companies like Infosys, Wipro, Tech Mahindra, etc. The highest placement rate of the college is 93%, and the lowest is 82%. The role of students is to crack the GATE examination easily and conceptually.",0.0,0.0,0.0,0.0,0.053,0.0835,0.8634999999999999,-0.010299999999999976,0.0,0.0,0.0,0.0
2,"By the time I left the college, outer infrastructure was under construction. Classrooms are very spacious with well-maintained tables and chairs. The college also has good and big laboratories. Even a hostel is...",0.293,0.0,0.707,0.4404,0.0,0.0,0.0,0.0,0.09766666666666667,0.0,0.9023333333333333,0.1468
3,"Placements in our college are average. When I was doing my B.Tech here, most of the students got placed through off-campus drives. Companies visit every year for placements, and they normally prefer students from the mechanical branch. College somehow guarantees 100% placements every year.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,The infrastructure of our college was good. Our college looks like Taj Mahal. Roads were good. Our college provided facilities like a library and playground. There were many chambers for different training sections. The campus was Wi-Fi enabled. I suggest join...,0.263,0.0,0.737,0.3612,0.0,0.0,1.0,0.0,0.1315,0.0,0.8685,0.1806
5,Our college provides good placement opportunities. It also offers extra courses and training for placements. Robotics and computer programme are taught for the students to get placed. They always focus on the company and talent of students.,0.0,0.0,1.0,0.0,0.204,0.0,0.796,0.273,0.0,0.0,0.0,0.0
6,The entire campus is Wi-Fi enabled. Even the Wi-Fi speed is really good in hostel rooms. A good number of well-designed classrooms are available here. Even the sports facilities are available for student...,0.206,0.0,0.794,0.24695,0.0,0.0,0.0,0.0,0.16849999999999998,0.0,0.8315,0.24665
7,The college has a dedicated placement cell. A good number of companies visit the campus for campus recruitment drives every year. Last year about 94% of the students were placed in good companies with good packages. Most of the placed students were offered different roles in the technical domain.,0.0,0.0,1.0,0.0,0.24,0.0,0.76,0.41325,0.276,0.0,0.724,0.4939
8,The infrastructure of the college looks fabulous. Classrooms are well designed. It has a central library and fully functional labs for all departments. Hostel rooms are good. College hostel is enabled with free Wi-Fi facili...,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.6940000000000001,0.30605000000000004
9,"The placement record of this college is up to standards. Companies like Machino Plastic, Qualitas Global, and various IT companies are the main recruiters here. More than 30% of students get placed every year. It has a functional placement cell, though it's not much effective.",0.0,0.0,0.0,0.0,0.038,0.05525,0.90675,-0.002799999999999997,0.0,0.0,0.0,0.0
10,"The infrastructure of the main building is good. Hostels are in very poor condition. On the order of our principal, the sweeping staff who used to clean our rooms stopped their wo...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155,0.0485,0.736,0.32135
11,"The college provides placements to even those students who don't have good grades. The average salary would be around Rs. 12,000-15,000 per month, which is not sufficient enough to live in cities where the cost of living is more than the salary earned. Students got placed well through off-campus drives or on their own.",0.0,0.0,0.0,0.0,0.057999999999999996,0.05566666666666667,0.8863333333333333,-0.02266666666666667,0.087,0.0,0.913,0.1366
12,The infrastructure of our college was good. Our co...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Placements in our college were not good. However, placements are a little bit good for the IT sector. Placements for computer science and IT departments in their core subjects are not up to the standards, and even a single student didn't place from our college. Almost 10-20 students out of 400-500 students were placed in good companies. Our college campus and Gandhi Group campus provides an excellent opportunity for the students of Gandhi group.",0.0,0.0,1.0,0.0,0.24566666666666667,0.0,0.7543333333333333,0.5281666666666667,0.302,0.0,0.698,0.7579
14,"However, college looks beautiful from outside, but its infrastructure is not that good. Wi-Fi connection is not bad. Labs lack in basic equipment. The quality of the food served in...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.635,-0.3182
15,"Placements are not good. Very few companies visit to hire students and offered a very low salary of Rs. 14,000-16,000 per month, which is not enough to sustain daily life in big cities like Bangalore. Only 30-50% of the students got placed. Most of the companies are IT-based and very few core company visit our college.",0.0,0.0,0.0,0.0,0.026,0.024999999999999998,0.949,0.0092,0.078,0.075,0.847,0.0276
16,"Top-class infrastructure with all facilities like Labs, library, sports, games, medical facilities. Hostel rooms are spacious, neat, with good quality food. Didn't face any infra related issue during my tenure at th...",0.185,0.0,0.815,0.3612,0.0,0.0,0.0,0.0,0.321,0.0,0.679,0.5354
17,"Almost 100% placement for 2014 batch in top IT companies like Infosys, Hexaware, Cognizant, Accenture. Used to get pre-placement training classes which helped the students to clear the interviews. Students were involved in an internship as well. There was, of course, a placement cell.",0.0835,0.0,0.9165,0.1909,0.16175,0.0,0.83825,0.2914,0.0,0.0,0.0,0.0
18,"The infrastructure of our college is very much well maintained, providing many facilities to the students like Gym, Music c...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.777,0.5965
19,"Well its my final year in this college and from the past three years the placement record of our is very good. Around 90% of the students are been placed at the end of the final year. Many reputed companies like TCS, Infosys, Congnizent and Wipro recruits students from our college by Off and On campus method. The highest of the package provided is around 6-7 Lacs per annum.",0.0,0.0,0.0,0.0,0.08125,0.0,0.91875,0.25225000000000003,0.116,0.0,0.884,0.3612
